blk_no,street,max_floor_lvl,year_completed,residential,bldg_contract_town,2room_sold,3room_sold,4room_sold,5room_sold,area,address,lat,lon
213A,BIDADARI PK DR,16,2022,Y,TP,54,0,50,0,TOA PAYOH,213A BIDADARI PK DR,1.34296665619819,103.87376975843
213B,BIDADARI PK DR,16,2022,Y,TP,52,28,50,0,TOA PAYOH,213B BIDADARI PK DR,1.34254399297506,103.873984678628
213C,BIDADARI PK DR,16,2022,Y,TP,52,28,50,0,TOA PAYOH,213C BIDADARI PK DR,1.34286984598367,103.874370513045
214A,BIDADARI PK DR,16,2022,Y,TP,0,0,40,38,TOA PAYOH,214A BIDADARI PK DR,1.34311119403389,103.874917224342
214B,BIDADARI PK DR,16,2022,Y,TP,0,0,40,38,TOA PAYOH,214B BIDADARI PK DR,1.34329898965654,103.875639015084
214C,BIDADARI PK DR,16,2022,Y,TP,0,0,40,38,TOA PAYOH,214C BIDADARI PK DR,1.3436430749183,103.875977739805
215A,BIDADARI PK DR,16,2022,Y,TP,0,0,40,38,TOA PAYOH,215A BIDADARI PK DR,1.3435171339088,103.876602163778
356A,UBI RD 3,12,2022,Y,GL,0,0,99,0,GEYLANG,356A UBI RD 3,1.3268363906978,103.8996318152
356B,UBI RD 3,12,2022,Y,GL,0,0,65,0,GEYLANG,356B UBI RD 3,1.3273546886699,103.89964950243
356C,UBI RD 3,14,2022,Y,GL,0,0,104,0,GEYLANG,356C UBI RD 3,1.32742766699184,103.899950276607
356D,UBI RD 3,15,2022,Y,GL,0,0,112,0,GEYLANG,356D UBI RD 3,1.32704296078319,103.900303541212
357A,UBI RD 3,12,2022,Y,GL,0,0,87,0,GEYLANG,357A UBI RD 3,1.32785340061028,103.899491051803
357B,UBI RD 3,12,2022,Y,GL,0,0,88,0,GEYLANG,357B UBI RD 3,1.32834068444948,103.89939456364
357C,UBI RD 3,12,2022,Y,GL,0,0,86,0,GEYLANG,357C UBI RD 3,1.32879916612048,103.899308445064
358A,UBI RD 3,12,2022,Y,GL,0,0,110,0,GEYLANG,358A UBI RD 3,1.32788779328715,103.900135688356
358B,UBI RD 3,12,2022,Y,GL,0,0,110,0,GEYLANG,358B UBI RD 3,1.32842584706343,103.900214493772
381A,YISHUN RING RD,15,2022,Y,YS,182,28,0,0,YISHUN,381A YISHUN RING RD,1.42989565177804,103.846925704089
381B,YISHUN RING RD,15,2022,Y,YS,0,0,56,28,YISHUN,381B YISHUN RING RD,1.42982465156402,103.84664325678
381C,YISHUN RING RD,15,2022,Y,YS,0,0,56,28,YISHUN,381C YISHUN RING RD,1.43012366355615,103.846294595205
381D,YISHUN RING RD,15,2022,Y,YS,112,42,0,0,YISHUN,381D YISHUN RING RD,1.43033024956014,103.846683698313
382A,YISHUN ST 31,15,2022,Y,YS,111,42,0,0,YISHUN,382A YISHUN ST 31,1.43147334626846,103.846642563741
382B,YISHUN ST 31,15,2022,Y,YS,0,0,56,42,YISHUN,382B YISHUN ST 31,1.43190119058939,103.847125632338
382C,YISHUN ST 31,15,2022,Y,YS,0,0,84,56,YISHUN,382C YISHUN ST 31,1.43135865182627,103.84740077688
383A,YISHUN AVE 6,15,2022,Y,YS,0,0,84,56,YISHUN,383A YISHUN AVE 6,1.43088157979729,103.84797128371
383B,YISHUN AVE 6,15,2022,Y,YS,0,0,56,42,YISHUN,383B YISHUN AVE 6,1.43063485055068,103.848477149421
383C,YISHUN AVE 6,15,2022,Y,YS,140,28,14,0,YISHUN,383C YISHUN AVE 6,1.43035724801604,103.84807341851
401A,NORTHSHORE DR,21,2022,Y,PG,0,0,112,38,PUNGGOL,401A NORTHSHORE DR,1.41442708055412,103.900798087083
402A,NORTHSHORE DR,22,2022,Y,PG,0,0,40,79,PUNGGOL,402A NORTHSHORE DR,1.41490049629308,103.901023432245
402B,NORTHSHORE DR,22,2022,Y,PG,0,0,40,79,PUNGGOL,402B NORTHSHORE DR,1.41511571795626,103.900433471175
410A,NORTHSHORE DR,26,2022,Y,PG,66,48,71,0,PUNGGOL,410A NORTHSHORE DR,1.41772205765632,103.905786514808
411A,NORTHSHORE DR,25,2022,Y,PG,66,23,23,0,PUNGGOL,411A NORTHSHORE DR,1.41831110604637,103.905756227253
411B,NORTHSHORE DR,25,2022,Y,PG,66,23,23,0,PUNGGOL,411B NORTHSHORE DR,1.4182072737344,103.906158184151
423A,NORTHSHORE CRES,26,2022,Y,PG,167,24,49,0,PUNGGOL,423A NORTHSHORE CRES,1.41904626961974,103.905793485343
423B,NORTHSHORE CRES,26,2022,Y,PG,143,48,0,0,PUNGGOL,423B NORTHSHORE CRES,1.41903834551696,103.906324283634
425A,NORTHSHORE CRES,26,2022,Y,PG,0,21,64,88,PUNGGOL,425A NORTHSHORE CRES,1.41961916604644,103.906181939652
425B,NORTHSHORE CRES,26,2022,Y,PG,0,21,94,82,PUNGGOL,425B NORTHSHORE CRES,1.41951094431327,103.906662295631
431A,BT BATOK WEST AVE 8,17,2022,Y,BB,126,32,46,0,BUKIT BATOK,431A BT BATOK WEST AVE 8,1.36152775099062,103.742995251611
431B,BT BATOK WEST AVE 8,16,2022,Y,BB,0,28,105,0,BUKIT BATOK,431B BT BATOK WEST AVE 8,1.36119834037705,103.742630605259
432A,BT BATOK WEST AVE 8,17,2022,Y,BB,0,0,32,94,BUKIT BATOK,432A BT BATOK WEST AVE 8,1.36039110471783,103.74300432438
432B,BT BATOK WEST AVE 8,16,2022,Y,BB,146,0,30,0,BUKIT BATOK,432B BT BATOK WEST AVE 8,1.36097997439422,103.742371133004
433A,BT BATOK WEST AVE 8,16,2022,Y,BB,120,30,43,0,BUKIT BATOK,433A BT BATOK WEST AVE 8,1.36189800657806,103.742374936478
433B,BT BATOK WEST AVE 8,15,2022,Y,BB,112,28,42,0,BUKIT BATOK,433B BT BATOK WEST AVE 8,1.36154608809803,103.742064614235
433C,BT BATOK WEST AVE 8,15,2022,Y,BB,0,0,42,84,BUKIT BATOK,433C BT BATOK WEST AVE 8,1.36106262790619,103.741523518988
459A,SENGKANG WEST WAY,14,2022,Y,SK,130,26,13,0,SENGKANG,459A SENGKANG WEST WAY,1.3932870281475,103.87007512388
459B,SENGKANG WEST WAY,14,2022,Y,SK,143,26,0,0,SENGKANG,459B SENGKANG WEST WAY,1.39377381328965,103.869604905627
460A,SENGKANG WEST WAY,14,2022,Y,SK,0,0,52,52,SENGKANG,460A SENGKANG WEST WAY,1.39475081583818,103.869528324762
460B,SENGKANG WEST WAY,14,2022,Y,SK,0,0,52,52,SENGKANG,460B SENGKANG WEST WAY,1.39472566651413,103.870098279873
460C,SENGKANG WEST WAY,14,2022,Y,SK,0,0,78,39,SENGKANG,460C SENGKANG WEST WAY,1.39409094759108,103.87003360852
461A,SENGKANG WEST WAY,14,2022,Y,SK,0,0,52,52,SENGKANG,461A SENGKANG WEST WAY,1.39467429682163,103.870783100671
461B,SENGKANG WEST WAY,14,2022,Y,SK,0,0,52,52,SENGKANG,461B SENGKANG WEST WAY,1.39460326745105,103.871349876898
461C,SENGKANG WEST WAY,14,2022,Y,SK,0,0,91,26,SENGKANG,461C SENGKANG WEST WAY,1.39410542991766,103.870728366216
462A,SENGKANG WEST WAY,14,2022,Y,SK,117,26,0,0,SENGKANG,462A SENGKANG WEST WAY,1.39357192537353,103.871307614787
462B,SENGKANG WEST WAY,14,2022,Y,SK,143,26,0,0,SENGKANG,462B SENGKANG WEST WAY,1.39316760882853,103.871149472154
464A,CLEMENTI AVE 1,40,2022,Y,CL,0,0,272,78,CLEMENTI,464A CLEMENTI AVE 1,1.31105769992309,103.768498489284
464B,CLEMENTI AVE 1,40,2022,Y,CL,24,152,78,76,CLEMENTI,464B CLEMENTI AVE 1,1.31013743458055,103.767972774309
465A,CLEMENTI AVE 1,40,2022,Y,CL,0,0,195,117,CLEMENTI,465A CLEMENTI AVE 1,1.30925465460081,103.767662729749
465A,YISHUN AVE 6,13,2022,Y,YS,96,0,48,0,YISHUN,465A YISHUN AVE 6,1.42645440481091,103.850762827872
465B,YISHUN AVE 6,13,2022,Y,YS,141,0,48,0,YISHUN,465B YISHUN AVE 6,1.42600537448383,103.850478712434
